food,water_in_liter,electric_in_kwh,internet_in_gb,cloth_wash_in_kg,cost_rupiah
Sayur lodeh,1.60,1.00,0.20,0.90,25700.0
Gado Gado,1.60,1.00,0.20,0.90,24700.0
Rawon,1.60,1.00,0.20,0.90,31700.0
Ketoprak,1.60,1.00,0.20,0.90,24200.0
Siomay,1.60,1.00,0.20,0.90,20700.0
Nasi Goreng,1.80,1.00,0.20,0.90,26900.0
Indomie,1.80,1.00,0.20,0.90,13900.0
Bakso ayam,1.80,1.00,0.20,0.90,23900.0
Sate,1.80,1.00,0.20,0.90,27900.0
Rendang,1.80,1.00,0.20,0.90,36900.0
Sayur lodeh,1.80,1.00,0.20,0.90,25900.0
Gado Gado,1.80,1.00,0.20,0.90,24900.0
Rawon,1.80,1.00,0.20,0.90,31900.0
Ketoprak,1.80,1.00,0.20,0.90,24400.0
Siomay,1.80,1.00,0.20,0.90,20900.0
Nasi Goreng,2.00,1.00,0.20,0.90,27100.0
Indomie,2.00,1.00,0.20,0.90,14100.0
Bakso ayam,2.00,1.00,0.20,0.90,24100.0
Sate,2.00,1.00,0.20,0.90,28100.0
Rendang,2.00,1.00,0.20,0.90,37100.0
Sayur lodeh,2.00,1.00,0.20,0.90,26100.0
Gado Gado,2.00,1.00,0.20,0.90,25100.0
Rawon,2.00,1.00,0.20,0.90,32100.0
Ketoprak,2.00,1.00,0.20,0.90,24600.0
Siomay,2.00,1.00,0.20,0.90,21100.0
Nasi Goreng,2.20,1.00,0.20,0.90,27300.0
Indomie,2.20,1.00,0.20,0.90,14300.0
Bakso ayam,2.20,1.00,0.20,0.90,24300.0
Sate,2.20,1.00,0.20,0.90,28300.0
Rendang,2.20,1.00,0.20,0.90,37300.0
Sayur lodeh,2.20,1.00,0.20,0.90,26300.0
Gado Gado,2.20,1.00,0.20,0.90,25300.0
Rawon,2.20,1.00,0.20,0.90,32300.0
Ketoprak,2.20,1.00,0.20,0.90,24800.0
Siomay,2.20,1.00,0.20,0.90,21300.0
Nasi Goreng,2.40,1.00,0.20,0.90,27500.0
Indomie,2.40,1.00,0.20,0.90,14500.0
Bakso ayam,2.40,1.00,0.20,0.90,24500.0
Sate,2.40,1.00,0.20,0.90,28500.0
Rendang,2.40,1.00,0.20,0.90,37500.0
Sayur lodeh,2.40,1.00,0.20,0.90,26500.0
Gado Gado,2.40,1.00,0.20,0.90,25500.0
Rawon,2.40,1.00,0.20,0.90,32500.0
Ketoprak,2.40,1.00,0.20,0.90,25000.0
Siomay,2.40,1.00,0.20,0.90,21500.0
Nasi Goreng,2.60,1.00,0.20,0.90,27700.0
Indomie,2.60,1.00,0.20,0.90,14700.0
Bakso ayam,2.60,1.00,0.20,0.90,24700.0
Sate,2.60,1.00,0.20,0.90,28700.0
Rendang,2.60,1.00,0.20,0.90,37700.0
Sayur lodeh,2.60,1.00,0.20,0.90,26700.0
Gado Gado,2.60,1.00,0.20,0.90,25700.0
Rawon,2.60,1.00,0.20,0.90,32700.0
Ketoprak,2.60,1.00,0.20,0.90,25200.0
Siomay,2.60,1.00,0.20,0.90,21700.0
Nasi Goreng,0.80,2.50,0.20,0.90,27250.0
Indomie,0.80,2.50,0.20,0.90,14250.0
Bakso ayam,0.80,2.50,0.20,0.90,24250.0
Sate,0.80,2.50,0.20,0.90,28250.0
Rendang,0.80,2.50,0.20,0.90,37250.0
Sayur lodeh,0.80,2.50,0.20,0.90,26250.0
Gado Gado,0.80,2.50,0.20,0.90,25250.0
Rawon,0.80,2.50,0.20,0.90,32250.0
Ketoprak,0.80,2.50,0.20,0.90,24750.0
Siomay,0.80,2.50,0.20,0.90,21250.0
Nasi Goreng,1.00,2.50,0.20,0.90,27450.0
Indomie,1.00,2.50,0.20,0.90,14450.0
Bakso ayam,1.00,2.50,0.20,0.90,24450.0
Sate,1.00,2.50,0.20,0.90,28450.0
Rendang,1.00,2.50,0.20,0.90,37450.0
Sayur lodeh,1.00,2.50,0.20,0.90,26450.0
Gado Gado,1.00,2.50,0.20,0.90,25450.0
Rawon,1.00,2.50,0.20,0.90,32450.0
Ketoprak,1.00,2.50,0.20,0.90,24950.0
Siomay,1.00,2.50,0.20,0.90,21450.0
Nasi Goreng,1.20,2.50,0.20,0.90,27650.0
Indomie,1.20,2.50,0.20,0.90,14650.0
Bakso ayam,1.20,2.50,0.20,0.90,24650.0
Sate,1.20,2.50,0.20,0.90,28650.0
Rendang,1.20,2.50,0.20,0.90,37650.0
Sayur lodeh,1.20,2.50,0.20,0.90,26650.0
Gado Gado,1.20,2.50,0.20,0.90,25650.0
Rawon,1.20,2.50,0.20,0.90,32650.0
Ketoprak,1.20,2.50,0.20,0.90,25150.0
Siomay,1.20,2.50,0.20,0.90,21650.0
Nasi Goreng,1.40,2.50,0.20,0.90,27850.0
Indomie,1.40,2.50,0.20,0.90,14850.0
Bakso ayam,1.40,2.50,0.20,0.90,24850.0
Sate,1.40,2.50,0.20,0.90,28850.0
Rendang,1.40,2.50,0.20,0.90,37850.0
Sayur lodeh,1.40,2.50,0.20,0.90,26850.0
Gado Gado,1.40,2.50,0.20,0.90,25850.0
Rawon,1.40,2.50,0.20,0.90,32850.0
Ketoprak,1.40,2.50,0.20,0.90,25350.0
Siomay,1.40,2.50,0.20,0.90,21850.0
Nasi Goreng,1.60,2.50,0.20,0.90,28050.0
Indomie,1.60,2.50,0.20,0.90,15050.0
Bakso ayam,1.60,2.50,0.20,0.90,25050.0
Sate,1.60,2.50,0.20,0.90,29050.0
Rendang,1.60,2.50,0.20,0.90,38050.0
Sayur lodeh,1.60,2.50,0.20,0.90,27050.0
Gado Gado,1.60,2.50,0.20,0.90,26050.0
Rawon,1.60,2.50,0.20,0.90,33050.0
Ketoprak,1.60,2.50,0.20,0.90,25550.0
Siomay,1.60,2.50,0.20,0.90,22050.0
Nasi Goreng,1.80,2.50,0.20,0.90,28250.0
Indomie,1.80,2.50,0.20,0.90,15250.0
Bakso ayam,1.80,2.50,0.20,0.90,25250.0
Sate,1.80,2.50,0.20,0.90,29250.0
Rendang,1.80,2.50,0.20,0.90,38250.0
Sayur lodeh,1.80,2.50,0.20,0.90,27250.0
Gado Gado,1.80,2.50,0.20,0.90,26250.0
Rawon,1.80,2.50,0.20,0.90,33250.0
Ketoprak,1.80,2.50,0.20,0.90,25750.0
Siomay,1.80,2.50,0.20,0.90,22250.0
Nasi Goreng,2.00,2.50,0.20,0.90,28450.0
Indomie,2.00,2.50,0.20,0.90,15450.0
Bakso ayam,2.00,2.50,0.20,0.90,25450.0
Sate,2.00,2.50,0.20,0.90,29450.0
Rendang,2.00,2.50,0.20,0.90,38450.0
Sayur lodeh,2.00,2.50,0.20,0.90,27450.0
Gado Gado,2.00,2.50,0.20,0.90,26450.0
Rawon,2.00,2.50,0.20,0.90,33450.0
Ketoprak,2.00,2.50,0.20,0.90,25950.0
Siomay,2.00,2.50,0.20,0.90,22450.0
Nasi Goreng,2.20,2.50,0.20,0.90,28650.0
Indomie,2.20,2.50,0.20,0.90,15650.0
Bakso ayam,2.20,2.50,0.20,0.90,25650.0
Sate,2.20,2.50,0.20,0.90,29650.0
Rendang,2.20,2.50,0.20,0.90,38650.0
Sayur lodeh,2.20,2.50,0.20,0.90,27650.0
Gado Gado,2.20,2.50,0.20,0.90,26650.0
Rawon,2.20,2.50,0.20,0.90,33650.0
Ketoprak,2.20,2.50,0.20,0.90,26150.0
Siomay,2.20,2.50,0.20,0.90,22650.0
Nasi Goreng,2.40,2.50,0.20,0.90,28850.0
Indomie,2.40,2.50,0.20,0.90,15850.0
Bakso ayam,2.40,2.50,0.20,0.90,25850.0
Sate,2.40,2.50,0.20,0.90,29850.0
Rendang,2.40,2.50,0.20,0.90,38850.0
Sayur lodeh,2.40,2.50,0.20,0.90,27850.0
Gado Gado,2.40,2.50,0.20,0.90,26850.0
Rawon,2.40,2.50,0.20,0.90,33850.0
Ketoprak,2.40,2.50,0.20,0.90,26350.0
Siomay,2.40,2.50,0.20,0.90,22850.0
Nasi Goreng,2.60,2.50,0.20,0.90,29050.0
Indomie,2.60,2.50,0.20,0.90,16050.0
Bakso ayam,2.60,2.50,0.20,0.90,26050.0
Sate,2.60,2.50,0.20,0.90,30050.0
Rendang,2.60,2.50,0.20,0.90,39050.0
Sayur lodeh,2.60,2.50,0.20,0.90,28050.0
Gado Gado,2.60,2.50,0.20,0.90,27050.0
Rawon,2.60,2.50,0.20,0.90,34050.0
Ketoprak,2.60,2.50,0.20,0.90,26550.0
Siomay,2.60,2.50,0.20,0.90,23050.0
Nasi Goreng,0.80,4.00,0.20,0.90,28600.0
Indomie,0.80,4.00,0.20,0.90,15600.0
Bakso ayam,0.80,4.00,0.20,0.90,25600.0
Sate,0.80,4.00,0.20,0.90,29600.0
Rendang,0.80,4.00,0.20,0.90,38600.0
Sayur lodeh,0.80,4.00,0.20,0.90,27600.0
Gado Gado,0.80,4.00,0.20,0.90,26600.0
Rawon,0.80,4.00,0.20,0.90,33600.0
Ketoprak,0.80,4.00,0.20,0.90,26100.0
Siomay,0.80,4.00,0.20,0.90,22600.0
Nasi Goreng,1.00,4.00,0.20,0.90,28800.0
Indomie,1.00,4.00,0.20,0.90,15800.0
Bakso ayam,1.00,4.00,0.20,0.90,25800.0
Sate,1.00,4.00,0.20,0.90,29800.0
Rendang,1.00,4.00,0.20,0.90,38800.0
Sayur lodeh,1.00,4.00,0.20,0.90,27800.0
Gado Gado,1.00,4.00,0.20,0.90,26800.0
Rawon,1.00,4.00,0.20,0.90,33800.0
Ketoprak,1.00,4.00,0.20,0.90,26300.0
Siomay,1.00,4.00,0.20,0.90,22800.0
Nasi Goreng,1.20,4.00,0.20,0.90,29000.0
Indomie,1.20,4.00,0.20,0.90,16000.0
Bakso ayam,1.20,4.00,0.20,0.90,26000.0
Sate,1.20,4.00,0.20,0.90,30000.0
Rendang,1.20,4.00,0.20,0.90,39000.0
Sayur lodeh,1.20,4.00,0.20,0.90,28000.0
Gado Gado,1.20,4.00,0.20,0.90,27000.0
Rawon,1.20,4.00,0.20,0.90,34000.0
Ketoprak,1.20,4.00,0.20,0.90,26500.0
Siomay,1.20,4.00,0.20,0.90,23000.0
Nasi Goreng,1.40,4.00,0.20,0.90,29200.0
Indomie,1.40,4.00,0.20,0.90,16200.0
Bakso ayam,1.40,4.00,0.20,0.90,26200.0
Sate,1.40,4.00,0.20,0.90,30200.0
Rendang,1.40,4.00,0.20,0.90,39200.0
Sayur lodeh,1.40,4.00,0.20,0.90,28200.0
Gado Gado,1.40,4.00,0.20,0.90,27200.0
Rawon,1.40,4.00,0.20,0.90,34200.0
Ketoprak,1.40,4.00,0.20,0.90,26700.0
Siomay,1.40,4.00,0.20,0.90,23200.0
Nasi Goreng,1.60,4.00,0.20,0.90,29400.0
Indomie,1.60,4.00,0.20,0.90,16400.0
Bakso ayam,1.60,4.00,0.20,0.90,26400.0
Sate,1.60,4.00,0.20,0.90,30400.0
Rendang,1.60,4.00,0.20,0.90,39400.0
Sayur lodeh,1.60,4.00,0.20,0.90,28400.0
Gado Gado,1.60,4.00,0.20,0.90,27400.0
Rawon,1.60,4.00,0.20,0.90,34400.0
Ketoprak,1.60,4.00,0.20,0.90,26900.0
Siomay,1.60,4.00,0.20,0.90,23400.0
Nasi Goreng,1.80,4.00,0.20,0.90,29600.0
Indomie,1.80,4.00,0.20,0.90,16600.0
Bakso ayam,1.80,4.00,0.20,0.90,26600.0
Sate,1.80,4.00,0.20,0.90,30600.0
Rendang,1.80,4.00,0.20,0.90,39600.0
Sayur lodeh,1.80,4.00,0.20,0.90,28600.0
Gado Gado,1.80,4.00,0.20,0.90,27600.0
Rawon,1.80,4.00,0.20,0.90,34600.0
Ketoprak,1.80,4.00,0.20,0.90,27100.0
Siomay,1.80,4.00,0.20,0.90,23600.0
Nasi Goreng,2.00,4.00,0.20,0.90,29800.0
Indomie,2.00,4.00,0.20,0.90,16800.0
Bakso ayam,2.00,4.00,0.20,0.90,26800.0
Sate,2.00,4.00,0.20,0.90,30800.0
Rendang,2.00,4.00,0.20,0.90,39800.0
Sayur lodeh,2.00,4.00,0.20,0.90,28800.0
Gado Gado,2.00,4.00,0.20,0.90,27800.0
Rawon,2.00,4.00,0.20,0.90,34800.0
Ketoprak,2.00,4.00,0.20,0.90,27300.0
Siomay,2.00,4.00,0.20,0.90,23800.0
Nasi Goreng,2.20,4.00,0.20,0.90,30000.0
Indomie,2.20,4.00,0.20,0.90,17000.0
Bakso ayam,2.20,4.00,0.20,0.90,27000.0
Sate,2.20,4.00,0.20,0.90,31000.0
Rendang,2.20,4.00,0.20,0.90,40000.0
Sayur lodeh,2.20,4.00,0.20,0.90,29000.0
Gado Gado,2.20,4.00,0.20,0.90,28000.0
Rawon,2.20,4.00,0.20,0.90,35000.0
Ketoprak,2.20,4.00,0.20,0.90,27500.0
Siomay,2.20,4.00,0.20,0.90,24000.0
Nasi Goreng,2.40,4.00,0.20,0.90,30200.0
Indomie,2.40,4.00,0.20,0.90,17200.0
Bakso ayam,2.40,4.00,0.20,0.90,27200.0
Sate,2.40,4.00,0.20,0.90,31200.0
Rendang,2.40,4.00,0.20,0.90,40200.0
Sayur lodeh,2.40,4.00,0.20,0.90,29200.0
Gado Gado,2.40,4.00,0.20,0.90,28200.0
Rawon,2.40,4.00,0.20,0.90,35200.0
Ketoprak,2.40,4.00,0.20,0.90,27700.0
Siomay,2.40,4.00,0.20,0.90,24200.0
Nasi Goreng,2.60,4.00,0.20,0.90,30400.0
Indomie,2.60,4.00,0.20,0.90,17400.0
Bakso ayam,2.60,4.00,0.20,0.90,27400.0
Sate,2.60,4.00,0.20,0.90,31400.0
Rendang,2.60,4.00,0.20,0.90,40400.0
Sayur lodeh,2.60,4.00,0.20,0.90,29400.0
Gado Gado,2.60,4.00,0.20,0.90,28400.0
Rawon,2.60,4.00,0.20,0.90,35400.0
Ketoprak,2.60,4.00,0.20,0.90,27900.0
Siomay,2.60,4.00,0.20,0.90,24400.0
Nasi Goreng,0.80,5.50,0.20,0.90,29950.0
Indomie,0.80,5.50,0.20,0.90,16950.0
Bakso ayam,0.80,5.50,0.20,0.90,26950.0
Sate,0.80,5.50,0.20,0.90,30950.0
Rendang,0.80,5.50,0.20,0.90,39950.0
Sayur lodeh,0.80,5.50,0.20,0.90,28950.0
Gado Gado,0.80,5.50,0.20,0.90,27950.0
Rawon,0.80,5.50,0.20,0.90,34950.0
Ketoprak,0.80,5.50,0.20,0.90,27450.0
Siomay,0.80,5.50,0.20,0.90,23950.0
Nasi Goreng,1.00,5.50,0.20,0.90,30150.0
Indomie,1.00,5.50,0.20,0.90,17150.0
Bakso ayam,1.00,5.50,0.20,0.90,27150.0
Sate,1.00,5.50,0.20,0.90,31150.0
Rendang,1.00,5.50,0.20,0.90,40150.0
Sayur lodeh,1.00,5.50,0.20,0.90,29150.0
Gado Gado,1.00,5.50,0.20,0.90,28150.0
Rawon,1.00,5.50,0.20,0.90,35150.0
Ketoprak,1.00,5.50,0.20,0.90,27650.0
Siomay,1.00,5.50,0.20,0.90,24150.0
Nasi Goreng,1.20,5.50,0.20,0.90,30350.0
Indomie,1.20,5.50,0.20,0.90,17350.0
Bakso ayam,1.20,5.50,0.20,0.90,27350.0
Sate,1.20,5.50,0.20,0.90,31350.0
Rendang,1.20,5.50,0.20,0.90,40350.0
Sayur lodeh,1.20,5.50,0.20,0.90,29350.0
Gado Gado,1.20,5.50,0.20,0.90,28350.0
Rawon,1.20,5.50,0.20,0.90,35350.0
Ketoprak,1.20,5.50,0.20,0.90,27850.0
Siomay,1.20,5.50,0.20,0.90,24350.0
Nasi Goreng,1.40,5.50,0.20,0.90,30550.0
Indomie,1.40,5.50,0.20,0.90,17550.0
Bakso ayam,1.40,5.50,0.20,0.90,27550.0
Sate,1.40,5.50,0.20,0.90,31550.0
Rendang,1.40,5.50,0.20,0.90,40550.0
Sayur lodeh,1.40,5.50,0.20,0.90,29550.0
Gado Gado,1.40,5.50,0.20,0.90,28550.0
Rawon,1.40,5.50,0.20,0.90,35550.0
Ketoprak,1.40,5.50,0.20,0.90,28050.0
Siomay,1.40,5.50,0.20,0.90,24550.0
Nasi Goreng,1.60,5.50,0.20,0.90,30750.0
Indomie,1.60,5.50,0.20,0.90,17750.0
Bakso ayam,1.60,5.50,0.20,0.90,27750.0
Sate,1.60,5.50,0.20,0.90,31750.0
Rendang,1.60,5.50,0.20,0.90,40750.0
Sayur lodeh,1.60,5.50,0.20,0.90,29750.0
Gado Gado,1.60,5.50,0.20,0.90,28750.0
Rawon,1.60,5.50,0.20,0.90,35750.0
Ketoprak,1.60,5.50,0.20,0.90,28250.0
Siomay,1.60,5.50,0.20,0.90,24750.0
Nasi Goreng,1.80,5.50,0.20,0.90,30950.0
Indomie,1.80,5.50,0.20,0.90,17950.0
Bakso ayam,1.80,5.50,0.20,0.90,27950.0
Sate,1.80,5.50,0.20,0.90,31950.0
Rendang,1.80,5.50,0.20,0.90,40950.0
Sayur lodeh,1.80,5.50,0.20,0.90,29950.0
Gado Gado,1.80,5.50,0.20,0.90,28950.0
Rawon,1.80,5.50,0.20,0.90,35950.0
Ketoprak,1.80,5.50,0.20,0.90,28450.0
Siomay,1.80,5.50,0.20,0.90,24950.0
Nasi Goreng,2.00,5.50,0.20,0.90,31150.0
Indomie,2.00,5.50,0.20,0.90,18150.0
Bakso ayam,2.00,5.50,0.20,0.90,28150.0
Sate,2.00,5.50,0.20,0.90,32150.0
Rendang,2.00,5.50,0.20,0.90,41150.0
Sayur lodeh,2.00,5.50,0.20,0.90,30150.0
Gado Gado,2.00,5.50,0.20,0.90,29150.0
Rawon,2.00,5.50,0.20,0.90,36150.0
Ketoprak,2.00,5.50,0.20,0.90,28650.0
Siomay,2.00,5.50,0.20,0.90,25150.0
Nasi Goreng,2.20,5.50,0.20,0.90,31350.0
Indomie,2.20,5.50,0.20,0.90,18350.0
Bakso ayam,2.20,5.50,0.20,0.90,28350.0
Sate,2.20,5.50,0.20,0.90,32350.0
Rendang,2.20,5.50,0.20,0.90,41350.0
Sayur lodeh,2.20,5.50,0.20,0.90,30350.0
Gado Gado,2.20,5.50,0.20,0.90,29350.0
Rawon,2.20,5.50,0.20,0.90,36350.0
Ketoprak,2.20,5.50,0.20,0.90,28850.0
Siomay,2.20,5.50,0.20,0.90,25350.0
Nasi Goreng,2.40,5.50,0.20,0.90,31550.0
Indomie,2.40,5.50,0.20,0.90,18550.0
Bakso ayam,2.40,5.50,0.20,0.90,28550.0
Sate,2.40,5.50,0.20,0.90,32550.0
Rendang,2.40,5.50,0.20,0.90,41550.0
Sayur lodeh,2.40,5.50,0.20,0.90,30550.0
Gado Gado,2.40,5.50,0.20,0.90,29550.0
Rawon,2.40,5.50,0.20,0.90,36550.0
Ketoprak,2.40,5.50,0.20,0.90,29050.0
Siomay,2.40,5.50,0.20,0.90,25550.0
Nasi Goreng,2.60,5.50,0.20,0.90,31750.0
Indomie,2.60,5.50,0.20,0.90,18750.0
Bakso ayam,2.60,5.50,0.20,0.90,28750.0
Sate,2.60,5.50,0.20,0.90,32750.0
Rendang,2.60,5.50,0.20,0.90,41750.0
Sayur lodeh,2.60,5.50,0.20,0.90,30750.0
Gado Gado,2.60,5.50,0.20,0.90,29750.0
Rawon,2.60,5.50,0.20,0.90,36750.0
Ketoprak,2.60,5.50,0.20,0.90,29250.0
Siomay,2.60,5.50,0.20,0.90,25750.0
Nasi Goreng,0.80,7.00,0.20,0.90,31300.0
Indomie,0.80,7.00,0.20,0.90,18300.0
Bakso ayam,0.80,7.00,0.20,0.90,28300.0
Sate,0.80,7.00,0.20,0.90,32300.0
Rendang,0.80,7.00,0.20,0.90,41300.0
Sayur lodeh,0.80,7.00,0.20,0.90,30300.0
Gado Gado,0.80,7.00,0.20,0.90,29300.0
Rawon,0.80,7.00,0.20,0.90,36300.0
Ketoprak,0.80,7.00,0.20,0.90,28800.0
Siomay,0.80,7.00,0.20,0.90,25300.0
Nasi Goreng,1.00,7.00,0.20,0.90,31500.0
Indomie,1.00,7.00,0.20,0.90,18500.0
Bakso ayam,1.00,7.00,0.20,0.90,28500.0
Sate,1.00,7.00,0.20,0.90,32500.0
Rendang,1.00,7.00,0.20,0.90,41500.0
Sayur lodeh,1.00,7.00,0.20,0.90,30500.0
Gado Gado,1.00,7.00,0.20,0.90,29500.0
Rawon,1.00,7.00,0.20,0.90,36500.0
Ketoprak,1.00,7.00,0.20,0.90,29000.0
Siomay,1.00,7.00,0.20,0.90,25500.0
Nasi Goreng,1.20,7.00,0.20,0.90,31700.0
Indomie,1.20,7.00,0.20,0.90,18700.0
Bakso ayam,1.20,7.00,0.20,0.90,28700.0
Sate,1.20,7.00,0.20,0.90,32700.0
Rendang,1.20,7.00,0.20,0.90,41700.0
Sayur lodeh,1.20,7.00,0.20,0.90,30700.0
Gado Gado,1.20,7.00,0.20,0.90,29700.0
Rawon,1.20,7.00,0.20,0.90,36700.0
Ketoprak,1.20,7.00,0.20,0.90,29200.0
Siomay,1.20,7.00,0.20,0.90,25700.0
Nasi Goreng,1.40,7.00,0.20,0.90,31900.0
Indomie,1.40,7.00,0.20,0.90,18900.0
Bakso ayam,1.40,7.00,0.20,0.90,28900.0
Sate,1.40,7.00,0.20,0.90,32900.0
Rendang,1.40,7.00,0.20,0.90,41900.0
Sayur lodeh,1.40,7.00,0.20,0.90,30900.0
Gado Gado,1.40,7.00,0.20,0.90,29900.0
Rawon,1.40,7.00,0.20,0.90,36900.0
Ketoprak,1.40,7.00,0.20,0.90,29400.0
Siomay,1.40,7.00,0.20,0.90,25900.0
Nasi Goreng,1.60,7.00,0.20,0.90,32100.0
Indomie,1.60,7.00,0.20,0.90,19100.0
Bakso ayam,1.60,7.00,0.20,0.90,29100.0
Sate,1.60,7.00,0.20,0.90,33100.0
Rendang,1.60,7.00,0.20,0.90,42100.0
Sayur lodeh,1.60,7.00,0.20,0.90,31100.0
Gado Gado,1.60,7.00,0.20,0.90,30100.0
Rawon,1.60,7.00,0.20,0.90,37100.0
Ketoprak,1.60,7.00,0.20,0.90,29600.0
Siomay,1.60,7.00,0.20,0.90,26100.0
Nasi Goreng,1.80,7.00,0.20,0.90,32300.0
Indomie,1.80,7.00,0.20,0.90,19300.0
Bakso ayam,1.80,7.00,0.20,0.90,29300.0
Sate,1.80,7.00,0.20,0.90,33300.0
Rendang,1.80,7.00,0.20,0.90,42300.0
Sayur lodeh,1.80,7.00,0.20,0.90,31300.0
Gado Gado,1.80,7.00,0.20,0.90,30300.0
Rawon,1.80,7.00,0.20,0.90,37300.0
Ketoprak,1.80,7.00,0.20,0.90,29800.0
Siomay,1.80,7.00,0.20,0.90,26300.0
Nasi Goreng,2.00,7.00,0.20,0.90,32500.0
Indomie,2.00,7.00,0.20,0.90,19500.0
Bakso ayam,2.00,7.00,0.20,0.90,29500.0
Sate,2.00,7.00,0.20,0.90,33500.0
Rendang,2.00,7.00,0.20,0.90,42500.0
Sayur lodeh,2.00,7.00,0.20,0.90,31500.0
Gado Gado,2.00,7.00,0.20,0.90,30500.0
Rawon,2.00,7.00,0.20,0.90,37500.0
Ketoprak,2.00,7.00,0.20,0.90,30000.0
Siomay,2.00,7.00,0.20,0.90,26500.0
Nasi Goreng,2.20,7.00,0.20,0.90,32700.0
Indomie,2.20,7.00,0.20,0.90,19700.0
Bakso ayam,2.20,7.00,0.20,0.90,29700.0
Sate,2.20,7.00,0.20,0.90,33700.0
Rendang,2.20,7.00,0.20,0.90,42700.0
Sayur lodeh,2.20,7.00,0.20,0.90,31700.0
Gado Gado,2.20,7.00,0.20,0.90,30700.0
Rawon,2.20,7.00,0.20,0.90,37700.0
Ketoprak,2.20,7.00,0.20,0.90,30200.0
Siomay,2.20,7.00,0.20,0.90,26700.0
Nasi Goreng,2.40,7.00,0.20,0.90,32900.0
Indomie,2.40,7.00,0.20,0.90,19900.0
Bakso ayam,2.40,7.00,0.20,0.90,29900.0
Sate,2.40,7.00,0.20,0.90,33900.0
Rendang,2.40,7.00,0.20,0.90,42900.0
Sayur lodeh,2.40,7.00,0.20,0.90,31900.0
Gado Gado,2.40,7.00,0.20,0.90,30900.0
Rawon,2.40,7.00,0.20,0.90,37900.0
Ketoprak,2.40,7.00,0.20,0.90,30400.0
Siomay,2.40,7.00,0.20,0.90,26900.0
Nasi Goreng,2.60,7.00,0.20,0.90,33100.0
Indomie,2.60,7.00,0.20,0.90,20100.0
Bakso ayam,2.60,7.00,0.20,0.90,30100.0
Sate,2.60,7.00,0.20,0.90,34100.0
Rendang,2.60,7.00,0.20,0.90,43100.0
Sayur lodeh,2.60,7.00,0.20,0.90,32100.0
Gado Gado,2.60,7.00,0.20,0.90,31100.0
Rawon,2.60,7.00,0.20,0.90,38100.0
Ketoprak,2.60,7.00,0.20,0.90,30600.0
Siomay,2.60,7.00,0.20,0.90,27100.0
Nasi Goreng,0.80,8.50,0.20,0.90,32650.0
Indomie,0.80,8.50,0.20,0.90,19650.0
Bakso ayam,0.80,8.50,0.20,0.90,29650.0
Sate,0.80,8.50,0.20,0.90,33650.0
Rendang,0.80,8.50,0.20,0.90,42650.0
Sayur lodeh,0.80,8.50,0.20,0.90,31650.0
Gado Gado,0.80,8.50,0.20,0.90,30650.0
